#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
	World	263,896,084	+175,407	5,245,182	+3,329	238,229,398	+196,320	20,421,504	87,105	33,855	672.9				
1	USA	49,573,122		805,004		39,318,563		9,449,555	13,343	148,534	2,412	755,496,996	2,263,665	333,749,517	
2	India	34,606,541		469,724		34,037,054	+8,548	99,763	8,944	24,733	336	643,510,926	459,914	1,399,198,423	
3	Brazil	22,105,872		615,020		21,339,118		151,734	8,318	102,963	2,865	63,776,166	297,051	214,697,495	
4	UK	10,276,007		145,140		9,095,983		1,034,884	916	150,254	2,122	363,637,864	5,317,066	68,390,701	
5	Russia	9,703,107	+33,389	277,640	+1,221	8,400,117	+35,185	1,025,350	2,300	66,449	1,901	226,100,000	1,548,386	146,023,052	
6	Turkey	8,818,144		77,038		8,350,494		390,612	1,405	102,988	900	108,036,172	1,261,768	85,622,825	
7	France	7,725,114		119,227		7,137,416		468,471	1,886	117,980	1,821	162,981,031	2,489,097	65,477,969	
8	Iran	6,121,757		129,912		5,892,574		99,271	4,312	71,588	1,519	38,439,240	449,511	85,513,384	
9	Germany	5,953,310		102,552		4,979,700	+42,100	871,058	4,636	70,735	1,218	83,816,414	995,880	84,163,150	
10	Argentina	5,332,629		116,597		5,194,780		21,252	632	116,477	2,547	26,260,861	573,600	45,782,522	
11	Spain	5,174,720		88,080		4,924,551		162,089	741	110,617	1,883	66,213,858	1,415,418	46,780,416	
12	Colombia	5,071,817		128,586		4,911,593		31,638	342	98,196	2,490	28,160,705	545,221	51,650,076	
13	Italy	5,043,620		133,931		4,709,906		199,783	686	83,592	2,220	119,905,510	1,987,298	60,335,946	
14	Indonesia	4,256,687		143,840		4,104,964		7,883		15,333	518	54,746,617	197,203	277,615,084	
15	Mexico	3,891,218	+3,345	294,428	+182	3,248,012	+2,793	348,778	4,798	29,738	2,250	11,883,217	90,816	130,848,998	
16	Poland	3,596,491	+27,356	84,656	+502	3,066,218	+17,690	445,617	1,862	95,176	2,240	24,547,160	649,603	37,787,922	
17	Ukraine	3,463,872	+13,531	87,057	+525	2,995,727	+23,535	381,088	177	79,883	2,008	15,962,709	368,130	43,361,664	
18	South Africa	2,976,613		89,871		2,850,142		36,600	546	49,309	1,489	19,529,031	323,509	60,366,253	
19	Philippines	2,833,473	+564	48,752	+40	2,769,533	+694	15,188	1,023	25,380	437	24,238,501	217,106	111,643,668	
20	Netherlands	2,661,691		19,459		2,120,287		521,945	605	154,853	1,132	19,205,114	1,117,321	17,188,541	
21	Malaysia	2,638,221		30,474		2,544,007		63,740	500	80,061	925	37,882,464	1,149,609	32,952,474	
22	Peru	2,236,351		201,176		N/A	N/A	N/A	971	66,516	5,984	20,314,089	604,202	33,621,349	
23	Czechia	2,193,289	+21,126	33,317	+67	1,866,997	+380	292,975	1,064	204,272	3,103	43,942,413	4,092,576	10,737,105	
24	Thailand	2,125,729	+4,971	20,845	+33	2,031,156	+5,402	73,728	1,369	30,347	298	14,913,135	212,899	70,047,905	
25	Iraq	2,082,061		23,844		2,046,224		11,993	103	50,173	575	16,363,328	394,320	41,497,561	
26	Canada	1,795,629		29,714		1,739,899		26,016	497	46,993	778	48,895,595	1,279,643	38,210,346	
27	Belgium	1,786,444	+20,409	27,072	+57	1,345,928	+5,012	413,444	780	153,198	2,322	24,849,495	2,130,990	11,661,012	
28	Romania	1,780,808		56,618		1,689,184		35,006	1,121	93,452	2,971	16,037,036	841,577	19,055,941	
29	Chile	1,764,274		38,356		1,658,430		67,488	688	91,185	1,982	25,644,143	1,325,390	19,348,368	
30	Japan	1,727,430	+126	18,362	+2	1,708,219	+140	849	38	13,718	146	27,983,144	222,215	125,928,213	
31	Bangladesh	1,576,566		27,983		1,541,348		7,235	1,382	9,440	168	10,907,602	65,311	167,010,523	
