#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
1	USA	50422410		813904		39815866		9792640	14473	151062	2438	768344446	2301903	333786570
2	India	34666241		474111		34097388	8251	94742	8944	24771	339	651950127	465859	1399457705
3	Brazil	22167781		616298		21399316		152167	8318	103237	2870	63776166	297011	214726349
4	UK	10610958		145987		9340390		1124581	880	155137	2134	371694121	5434323	68397507
5	Russia	9925806	30209	286004	1181	8637861	35794	1001941	2300	67974	1959	229800000	1573711	146024245
6	Turkey	8964711		78407		8516522		369782	1128	104679	916	110515595	1290464	85640173
7	France	8048931		120032		7231292		697607	2426	122921	1833	170480237	2603518	65480724
8	Germany	6355888	16295	105010	78	5225700		1025178	4636	75514	1248	85782441	1019178	84168260
9	Iran	6147872	3228	130524	78	5950425	6958	66923	3169	71876	1526	39739512	464605	85533945
10	Argentina	5348123		116708		5206911		24504	692	116796	2549	26536077	579511	45790446
11	Spain	5246766		88237		4937402		221127	814	112156	1886	66213858	1415408	46780761
12	Italy	5152264		134472		4768578		249214	791	85395	2229	123896511	2053502	60334252
13	Colombia	5086381		128929		4927104		30348	342	98458	2496	28478384	551261	51660442
14	Indonesia	4258560	220	143918	9	4109364	296	5278		15337	518	57287944	206316	277670368
15	Mexico	3908534	3215	295893	292	3264585	2163	348056	4798	29865	2261	12000517	91695	130874890
16	Poland	3760048	27458	87357	562	3211558	16827	461133	2053	99506	2312	25322586	670138	37787133
17	Ukraine	3532357	12376	89901	465	3133970	24547	308486	177	81472	2074	16199355	373630	43356666
18	South Africa	3071064		90038		2867966		113060	546	50862	1491	19912794	329788	60380554
19	Philippines	2835996	562	49936	176	2773891	882	12169	899	25396	447	24522686	219597	111671566
20	Netherlands	2828655	19763	19919	77	2204254	11210	604482	645	164559	1159	19205114	1117274	17189264
21	Malaysia	2673019		30746		2581395		60878	428	81098	933	38730402	1175058	32960404
22	Czechia	2298441	16179	34129	47	1972936	493	291376	1072	214058	3178	45172922	4207030	10737484
23	Peru	2248447		201490					987	66858	5991	20674445	614759	33630136
24	Thailand	2156587	4203	21082	49	2075088	7939	60417	1369	30786	301	14913135	212889	70051246
25	Iraq	2086702	510	23943	12	2053418	762	9341	94	50264	577	16507647	397632	41514865
26	Belgium	1898498	18714	27416	56	1403052	7693	468030	815	162794	2351	25571605	2192734	11661974
27	Canada	1818742		29852		1758980		29910	497	47590	781	49600916	1297887	38216668
28	Romania	1790571	1032	57434	72	1709702	1734	23435	754	93976	3014	16317446	856402	19053500
29	Chile	1776599		38541		1672901		65157	685	91807	1992	26103609	1348919	19351503
30	Japan	1728237	124	18369	2	1709008	84	860	26	13725	146	28311957	224839	125920841
31	Bangladesh	1578550	262	28016		1543491	287	7043	1360	9450	168	11062902	66228	167041879
32	Vietnam	1367433	15311	27186	256	1050979	14586	289268	7697	13869	276	70692311	717001	98594416
33	Israel	1348486	153	8210		1334133	166	6143	96	144594	880	35803751	3839133	9326000
34	Pakistan	1288053	350	28803	10	1249421	2355	9829	771	5673	127	22385347	98598	227035878
35	Serbia	1268787		12036		1218981		37770	194	146058	1386	6927098	797422	8686864
36	Sweden	1226055		15152		1165341	1322	45562	56	120324	1487	13934770	1367550	10189584
37	Austria	1217436	4437	13011	32	1119866	9894	84559	627	134077	1433	113992857	12554136	9080104
38	Portugal	1181294	3588	18610	23	1097554	1269	65130	142	116337	1833	21858506	2152690	10154044
39	Hungary	1176038	7310	36263	215	955248	6863	184527	579	122184	3768	8734938	907512	9625151
40	Switzerland	1096476	4892	11736	9	883870	4177	200870	261	125378	1342	12962217	1482177	8745390
41	Jordan	993339		11850		916406		65083	1175	95990	1145	12564015	1214106	10348364
42	Greece	984301		18901		896009		69391	709	95102	1826	39234558	3790783	10349987
43	Kazakhstan	977714	683	12814	12	945529	1044	19371	528	51193	671	11575012	606064	19098667
44	Cuba	963347		8311		954572		464	16	85126	734	11250174	994122	11316696
45	Morocco	950946		14792		933658		2496	347	25333	394	10526057	280413	37537720
46	Georgia	879368	3562	12582	63	822108	4145	44678		221048	3163	11989404	3013792	3978179
47	Nepal	823554	197	11549	2	805900	329	6105	114	27555	386	4696366	157134	29887560
48	Slovakia	757492	8523	15179	84	626808	10074	115505	605	138648	2778	4805554	879585	5463436
49	UAE	742567	60	2149		737656	86	2762		73801	214	103868670	10323172	10061701
50	Tunisia	718866		25413		692068		1385	53	59926	2118	3211069	267680	11995922
51	Bulgaria	709537		29279		581749		98509	631	103230	4260	6792182	988188	6873369
52	Lebanon	683326		8804		638065		36457	186	100762	1298	4795578	707148	6781580
53	Belarus	669631	1738	5227	17	659224	2115	5180		70899	553	10600869	1122395	9444863
54	Croatia	644206	4428	11445	62	605078	3904	27683	321	158323	2813	3548144	872009	4068932
55	Guatemala	620853		16008		603756		1089	5	33760	870	3166569	172187	18390308
56	Ireland	606852		5788		468512		132552	118	120963	1154	9178076	1829446	5016860
57	Azerbaijan	599713		8019		569238		22456		58393	781	5633054	548484	10270220
58	Sri Lanka	569928		14533		543467		11928		26457	675	5695096	264371	21542039
59	Costa Rica	567824		7324		557620		2880	76	110026	1419	2715029	526085	5160819
60	Saudi Arabia	550088	45	8850	1	539277	72	1961	29	15456	249	31867094	895375	35590792
61	Bolivia	547892	1737	19276	12	500575	1011	28041	220	46037	1620	2593083	217883	11901239
